task,measure,n_seeds,n_valid_lead,n_pos_lead,mean_lead,median_lead,mean_cross_frac,mean_sp_conc,mean_sp_future
add,weight_l2,5,5,5,6420.0,6400.0,0.12659951442854123,-0.8818108550952617,-0.8543137728469563
add,w_eff_rank,5,5,5,6600.0,6600.0,0.09950069738768122,-0.8767823647883006,-0.8713362467695062
add,act_eff_rank,5,5,4,1220.0,1600.0,0.8541842507792762,-0.8419138012363835,-0.8492079739072865
add,act_sparsity,5,5,5,4580.0,5000.0,0.32622750380538357,-0.6906427073468828,-0.6223964906196484
add,act_kurtosis,5,5,3,3000.0,5000.0,0.6542309704106372,-0.40934831222017054,-0.18543527863982856
add,gzip_bytes,5,5,4,1340.0,1400.0,0.843324274621063,-0.8890674384253525,-0.8456563035021911
mul,weight_l2,5,5,5,5880.0,5800.0,0.13028350959385443,-0.9537206244028459,-0.9349220820199655
mul,w_eff_rank,5,5,5,6160.0,6000.0,0.0895807640635227,-0.9637608881691708,-0.9555808144900426
mul,act_eff_rank,5,5,3,320.0,600.0,0.9628674773502359,-0.893662289012805,-0.8701679438964083
mul,act_sparsity,5,5,5,6560.0,6400.0,0.029860254687840898,-0.5936665655109085,-0.5252670929079111
mul,act_kurtosis,5,5,4,3720.0,5400.0,0.4408731498386671,0.26989601814111325,0.5804418262031745
mul,gzip_bytes,5,5,5,1480.0,800.0,0.778161608506436,-0.9340367704233101,-0.9002785071123777
parity,weight_l2,5,5,5,7920.0,6000.0,0.031570231924283855,-0.8395070310988005,-0.8129736810670586
parity,w_eff_rank,5,5,1,-2520.0,-3400.0,1.4716565092253528,-0.9839571571482567,-0.9793471732651398
parity,act_eff_rank,5,5,1,-840.0,-1800.0,1.2661342315158208,-0.9852595525980712,-0.9810325217077198
parity,act_sparsity,5,2,2,4300.0,4300.0,0.1991758241758242,-0.000543682057820466,-0.028050321094454676
parity,act_kurtosis,5,5,1,-3960.0,-5600.0,1.7921639123842112,0.9798411989783563,0.9740771507301735
parity,gzip_bytes,5,5,3,3200.0,1200.0,0.7516472300107233,-0.9864761999686958,-0.9828414265036403
